contentsId,contents,name,location,explanation,contentGroup,categoty
1,봄날 (Spring Day) MV,일영역,경기 양주시,"뮤직비디오 도입부, 뷔가 눈 내린 기차역에 서 있는 장면.",BTS,k-pop
2,YOU NEVER WALK ALONE,향호해변 버스정류장,강원 강릉시 (주문진),앨범 재킷 촬영 장소. 실제 버스 정류장은 아니었으나 관광객을 위해 복원됨.,BTS,k-pop
3,SAVE ME MV,새만금 간척지,전북 부안군,광활한 들판 위에서 원테이크로 군무를 촬영한 장소.,BTS,k-pop
4,EPILOGUE: Young Forever MV,모산 비행장,충북 제천시,멤버들이 활주로를 따라 걷는 장면이 나옵니다. 현재는 시민공원으로 활용 중.,BTS,k-pop
5,화양연화 prologue MV,경정항,경북 영덕군,뷔가 바다로 뛰어내리는 장면 등 강렬한 인상을 남긴 바닷가.,BTS,k-pop
6,화양연화 INTRO: I NEED U MV,서울대 폐수영장,서울 관악구,멤버들이 불안한 청춘의 모습을 보여주는 장소 중 하나. (현재는 복합문화공간으로 재생 논의 중),BTS,k-pop
7,RUN MV,능내 터널,경기 남양주시 (추정),멤버들이 달리는 장면 등에 등장. 타일 벽이 특징적.,BTS,k-pop
8,LOVE YOURSELF: Her (티저/화보),동작대교,서울 동작구,뷔의 콘셉트 포토가 촬영된 한강 위의 다리.,BTS,k-pop
9,IDOL / Mikrokosmos,경복궁,서울 종로구,NBC '더 투나잇 쇼' 공연 영상 촬영지. 한국 전통 건축물의 아름다움을 세계에 알림.,BTS,k-pop
10,대취타 (Daechwita) MV,용인 대장금 파크,경기 용인시,조선시대 궁궐 및 거리 세트장. 슈가가 왕의 모습으로 등장하는 장면 촬영.,BTS,k-pop
11,Not Today,옛 연초제조창,충북 청주시," 'Not Today' 뮤직비디오 촬영지입니다. 현재는 문화 공간으로 탈바꿈했습니다.",BTS,k-pop
12,앨범/화보 촬영,맹방해변,강원 삼척시,"Butter' 싱글 앨범 재킷 및 콘셉트 포토 촬영지. 사진 속 의자, 파라솔 등을 재현한 포토존이 유명합니다.",BTS,k-pop
13,앨범/화보 촬영,우음도,경기 화성시,화양연화 on stage : prologue' VCR과 사진 촬영지. 버려진 듯한 나무 한 그루가 인상적입니다.,BTS,k-pop
14,자체 예능 (달방),용마랜드,서울 중랑구,폐장된 놀이공원. 'RUN' MV와 '달려라 방탄' 등 다양한 콘텐츠 촬영에 사용되어 독특한 분위기를 연출합니다.,BTS,k-pop
15,자체 예능 (인더숲),평창 레스트리 리솜,강원 평창군,"인더숲(In The Soop) BTS편' 촬영지 중 한 곳. 자연 속 힐링 콘셉트로 유명하며, 숲속에서 휴식을 취하는 장면을 촬영했습니다.",BTS,k-pop
16,자체 예능 (인더숲),아일랜드 리솜,충남 태안군,인더숲(In The Soop) BTS편' 촬영지 중 한 곳. 바닷가 리조트에서 멤버들이 시간을 보낸 곳입니다.,BTS,k-pop
17,화보/리얼리티,아원 고택,전북 완주군,2019 서머패키지 인 코리아' 화보 및 영상 촬영지. 250년 된 한옥과 현대 건축이 어우러진 복합문화공간입니다.,BTS,k-pop
18,공연/행사,에버랜드,경기 용인시,Dynamite' 곡으로 NBC '아메리카 갓 탤런트'에서 공연했던 장소. 화려한 퍼레이드 길과 배경이 등장했습니다.,BTS,k-pop
19,공식 영상/촬영,서울숲,서울 성동구,"멤버들의 생일을 기념하는 팬들의 기부로 조성된 RM숲 등이 있으며, 휴식과 산책을 즐기기 좋은 곳입니다.",BTS,k-pop
20,Lovesick Girls MV,대관령 하늘목장,강원 평창군,뮤직비디오 속 광활한 들판과 이국적인 풍경. 힐링 코스로 인기.,"블랙 핑크, Black Pink",k-pop
21,STAY MV,우음도,경기 화성시,황량하고 고독한 분위기를 연출한 촬영지. 드라이브 및 일몰 명소.,"블랙 핑크, Black Pink",k-pop
22,How You Like That MV,경기영어마을 파주캠프,경기 파주시,뮤직비디오 속 고대 궁전 같은 분위기의 실내 세트 일부. (현재는 '미래형 인재개발 교육공간'),"블랙 핑크, Black Pink",k-pop
23,Square Up 앨범 재킷,Common Ground,서울 광진구,블루 컨테이너 박스로 만들어진 복합 문화 공간. 트렌디한 감성.,"블랙 핑크, Black Pink",k-pop
24,The Album 화보,그랜드 하얏트 서울,서울 용산구,호텔의 야외 수영장 및 고급스러운 실내 공간이 화보 배경으로 사용됨.,"블랙 핑크, Black Pink",k-pop
25,2021 Season's Greetings,용마랜드,서울 중랑구,빈티지하고 레트로한 감성으로 화보/콘텐츠 촬영에 자주 사용되는 폐장된 놀이공원.,"블랙 핑크, Black Pink",k-pop
26,개인 화보,카멜리아힐,제주 서귀포시,동백꽃과 다양한 식물 군락지. 멤버들의 제주도 개인 화보나 스케줄에서 언급된 장소.,"블랙 핑크, Black Pink",k-pop
27,제니 Solo MV,국립현대미술관,충북 청주시,제니의 솔로 뮤직비디오 'SOLO'의 일부 공간이 촬영된 것으로 알려짐. (현재 리모델링),"블랙 핑크, Black Pink",k-pop
28,Rosé Solo MV,양양 하조대 해변,강원 양양군,로제의 'On The Ground' 뮤직비디오에서 등장하는 아름다운 해변 중 하나.,"블랙 핑크, Black Pink",k-pop
29,지수 개인 스케줄,북촌 한옥마을,서울 종로구,지수가 개인 SNS에 사진을 올려 화제가 되었던 전통 한옥 거리.,"블랙 핑크, Black Pink",k-pop
30,CHEER UP MV,신설동역 폐역,서울 동대문구,"현재는 운행하지 않는 지하철 플랫폼. 뮤직비디오 속 멤버들의 일부 장면 촬영지로, 독특한 레트로 감성을 담고 있습니다.","블랙 핑크, Black Pink",k-pop
31,SIGNAL MV,경희대학교 평화의 전당,서울 동대문구,뮤직비디오 속 학교 외관으로 등장. 웅장하고 고전적인 건축물이 특징입니다.,"블랙 핑크, Black Pink",k-pop
32,TT MV,용마랜드,서울 중랑구,"뮤직비디오의 일부 야외 장면 및 화보 촬영에 사용된 빈티지한 분위기의 폐장 놀이공원. ","블랙 핑크, Black Pink",k-pop
33,YES or YES 앨범 재킷,서울 식물원,서울 강서구,앨범 콘셉트 사진 일부 촬영지. 온실을 포함한 이국적인 분위기의 실내외 정원.,"블랙 핑크, Black Pink",k-pop
34,LIKEY MV,트라이볼,인천 연수구,독특한 건축 디자인이 특징인 복합문화공간. 뮤직비디오 일부 장면의 배경으로 등장.,"블랙 핑크, Black Pink",k-pop
35,What Is Love? MV,북촌 한옥마을,서울 종로구,"뮤직비디오의 영화 패러디 장면 중 일부 배경이 된 전통 한옥 거리. ","블랙 핑크, Black Pink",k-pop
36,Dance The Night Away MV,아치형 다리,경기/인천,뮤직비디오 속 야외 댄스 장면의 다리 배경. (장소의 특성상 정확한 주소는 팬들 사이에서도 추정이 많음),"블랙 핑크, Black Pink",k-pop
37,YES or YES 화보,올림픽공원,서울 송파구,넓은 잔디밭과 야외 공간이 앨범 화보의 배경으로 활용됨.,"블랙 핑크, Black Pink",k-pop
38,Summer Nights 앨범,"제주도 해변 (협재, 함덕 추정)",제주 전역,"앨범 콘셉트가 제주 바다와 여름을 배경으로 하여, 제주도의 여러 해변이 간접적으로 관련됨.","블랙 핑크, Black Pink",k-pop
39,FANCY MV,서울시립미술관 주변,서울 중구,뮤직비디오의 세련된 도시 배경 중 일부. (도심의 상징적 건축물 활용),"블랙 핑크, Black Pink",k-pop
40,헌트릭스 신곡 공개,코엑스 K-POP 스퀘어 & 3D 전광판,서울 강남구,영화의 오프닝과 헌트릭스(HUNTR/X)의 신곡 티저가 공개된 상징적인 장소. 거대한 3D 디스플레이는 K-pop의 디지털 신화를 상징합니다.,Kpop Demon Hunters,movie
41,최후의 무대,N서울타워,서울 용산구,영화의 포스터와 주요 장면 곳곳에 등장하는 서울의 상징. 특히 파이널 콘서트와 클라이맥스 전투의 배경이 되며 강렬한 존재감을 과시합니다.,Kpop Demon Hunters,movie
42,루미와 진우의 첫번째 만남,북촌 한옥마을,서울 종로구,루미와 지누가 사적인 대화를 나누고 전통적인 마법의 근원이 되는 장소. 고즈넉한 한옥 지붕과 골목길이 한국의 '소울'을 담아냅니다.,Kpop Demon Hunters,movie
43,루미와 지누의 두번째 만남,낙산공원 성곽길,서울 종로구,루미와 지누가 밤에 만나 진심을 나누는 감성적인 장면의 배경. 서울 도심의 아름다운 야경과 고풍스러운 성곽길이 어우러진 명소입니다.,Kpop Demon Hunters,movie
44,공연장,서울올림픽주경기장,서울 송파구,헌트릭스의 대규모 콘서트 무대와 월드 아이돌 시상식이 열리는 장소. 현실에서도 K-pop 스타들의 대형 공연이 자주 열리는 상징적인 공간입니다.,Kpop Demon Hunters,movie
45,청담대교 전투,청담대교 및 지하철 7호선,서울 광진구/강남구,헌트릭스와 악령들의 가장 박진감 넘치는 전투 중 하나가 펼쳐지는 한강 위의 복층 교량입니다.,Kpop Demon Hunters,movie
46,지하철 전투,자양역,서울 광진구,"청담대교 지하철 장면과 연결되며, 한강공원과 인접하여 영화 속 강변 장면의 배경이 되었습니다.",Kpop Demon Hunters,movie
47,헌트릭스 본부,롯데월드타워,서울 송파구,"헌트릭스 그룹의 웅장한 본부/숙소로 묘사됩니다. 한국에서 가장 높은 빌딩으로, 전망대에서 내려다보는 서울 전경이 영화 속 숙소 뷰와 유사합니다.",Kpop Demon Hunters,movie
48,소다팝,명동 거리,서울 중구,**사자 보이즈(Saja Boys)가 거리 퍼포먼스(Soda Pop)**를 펼친 장소. 쇼핑과 길거리 음식으로 유명한 서울의 대표적인 번화가입니다.,Kpop Demon Hunters,movie
49,지누의 과거,경복궁/창덕궁,서울 종로구,지누의 과거 회상 장면 및 전통적인 분위기를 묘사하는 데 활용되어 영화의 신비로운 분위기를 더합니다.,Kpop Demon Hunters,movie
50,딱지치기,양재시민의숲역,서울 서초구 (신분당선),기훈이 영업사원(공유)에게 딱지치기를 제안받아 게임에 참여하게 되는 장소.,"오징어 게임, Squid Game",drama
51,추격전,상봉터미널,서울 중랑구 상봉로 117,기훈이 경마 도박을 하고 사채업자에게 쫓기던 장소.,"오징어 게임, Squid Game",drama
52,조상우의 어머니 가게,팔도건어물,서울 도봉구 쌍문동 백운시장 (팔도건어물),조상우(박해수)의 어머니가 운영하는 생선가게가 위치한 시장.,"오징어 게임, Squid Game",drama
53,남산 공원,남산 공원길,서울 중구 (남산 순환로 인근),게임 중단 후 기훈과 강새벽(정호연)이 맨몸으로 버려져 헤어지는 장소.,"오징어 게임, Squid Game",drama
54,기훈의 결심,공항화물청사역,공항철도 (극 중 인천공항으로 나옴),"시즌 마지막 회에서 빨간 머리 기훈이 공항으로 가기 전, 반대편 승강장에서 공유가 다른 사람과 딱지치기를 하는 모습을 목격한 장소.","오징어 게임, Squid Game",drama
55,잠입하는 황준호,대호방조제 / 도비도항,충남 당진시 석문면 (무진항으로 나옴),경찰 황준호가 오징어 게임 진행 요원 차량을 미행하고 페리에 탑승하는 장면.,"오징어 게임, Squid Game",drama
56,어린 시절 기훈과 상우,교동초등학교,인천 강화군 교동면,어린 시절 기훈과 상우가 '오징어 게임'을 했던 추억의 장소.,"오징어 게임, Squid Game",drama